hash,question,what
867b261469cf9d21dbb2a0b1555af50b,鼻腔未分化癌是最严重的肿瘤吗？,1
d90cc43ac59b204803cb025ad46a2b0d,恶性卵巢囊肿会有什么后果吗？,1
2f841b02ee81f190c9b4af125d1c8b44,请问什么是肌肉瘤.长在手臂上危险吗?要如...,1
2de7afcf735d53c5fc66ac5370f8a12c,您好！请问怎么样鉴别子宫附件囊肿是恶性,1
48f3d3b3d0f6089b89921bfb92d99184,这到底是不是淋巴癌??,1
5e0e2147c0e0205a61c9f23ef18de446,树瘤有甚么特点,1
3b9c745002f5077b0b4819dd408a4d98,畸胎瘤是天生的吗,1
922c0503d34622c80902e9ec354240b9,怀疑惰性淋巴瘤,1
e57411459e88e99ecf3a21ac3652e8da,皮肤癌的早期症状是什么?,1
e880d308288653d2dcddb9dc4a0721bc,牙癌的症状有什么,1
a556b07d5e735d962e0fcfeac5e3c5b5,神经内分泌癌中的哪种_肺癌,1
13c2f39df4cd0d9dbc28c3a0d6ad11e7,脑膜瘤手术后说话说不清是怎么回事？,1
ed500e0f0ed893e54240f66bdb5157d5,纤维腺瘤严重吗,1
04878295f866f366c4e1673f2a27292a,神经鞘瘤是怎样引起的?手术后还会复发吗?该怎样预防?,1
1f2166a44a11b5dcee5ba514d38b5b81,颈椎良性肿瘤会变恶性肿瘤吗,1
5e5a1ef064c68b9b910b2b8dfe00d3a4,有谁患有神经纤维瘤的人可以结婚的,1
e4796f079274dd85c47327c4235c33a4,淋巴瘤的咨询,1
325af31788cc7231d1f45bfce3cb0613,癌症就是恶性肿瘤吗,1
15cab52327ac5cdc981e64844ef62743,淋巴管瘤手术咨询,1
4a4d30c79864bad95392991385603cb2,腹壁转移性小细胞性神经内分泌癌能告诉我这是什么病吗，该化疗吗，希望大家帮助我急急急谢谢大家了,1
69e7cdfc087354fd0a998133a0183ea3,我奶奶最近很消瘦，有血尿出现，听人说可能是痔疮，也有可能是膀胱癌，不知道膀胱癌有哪些症状？,1
001eaecf6da6159732fb2d914a7045fc,膝头恶性肿瘤还有得救吗,1
c097da0fb528ec0e9dadc49ce6bd1128,恶性肿瘤是癌症吗,1
8047fb2c1914e4ce6ab79cfbc5fadd71,什么是乳线癌 有何症状,1
95d03b3d8b5ef27e241987c2baaf791c,皮肤癌是癌症吗？,1
6cb9b3c4f339ece5e526d73b99045c8d,子宫内膜癌早期症状有哪些?,1
256b3a5a85bb0e73aa07eb6f3b322384,恶性淋巴瘤还能治愈么,1
a4302348d8da3446da930eb806d0e3b7,我家有癌症基因吗，我会不会也走这条路？,1
62d97e4fb85dce54c39349cdb5d7f315,请问纵膈肿瘤的症状是怎么样的呢？,1
ac21662920bb777c66733863febd3093,畸胎瘤的具体临床特征？,1
af800cca787bcab49265e9a1cb9c8f0c,下巴神经鞘瘤术后十几天，靠手术这边头会晕和痛，眼睛变双眼皮，是什么原因？,1
e88ad072ae186db24fb47d9e511c55ca,08年摔伤头部，现在又动手了手术，说疤痕压迫神经导致左手左脚行动不方便。还说有可能是胶质瘤。想问问好了后会不会有其他后遗症，如果是胶质瘤的话有没有危险,1
f1b3ce9928852f2c73907ebf5f1bc8dd,慢粒新药 慢粒急淋变 白血病化疗以后是否还能重新检查是不是有此病,1
5ad2a6567e7e28c2f4837765d8737d85,畸胎瘤会痛吗,1
3a79c25e5297b1301901068624c0b9d7,什么肿瘤什在心脏旁边,1
00567927ebaa70819117dab7a0184aa2,脂肪肉瘤是癌症吗,1
6cfaa72c1313857ab95d21856d856067,神经纤维瘤会不会遗传呢？,1
98d024d3666f152993d5f51f926444b7,子宫畸胎瘤会不会癌变？,1
c3cd9fab10d740c1f60c939441138524,直肠癌复查检查哪几项结直肠癌临床表现,1
43fee1a49f02a8bf331fc940eb18b780,纤维腺瘤与月经不正常有关吗,1
968caa47a7198f637117bca5e7e7ef51,盆腔内会长癌,1
58671398e9b64446852e83a08c415d3b,胰腺良恶性肿瘤分析,1
461187599c7f91b9ea6aec1b4fed79bf,6岁孩子得神经母细胞癌是从娘胎里的，还是出生以后得的？？,1
bc3ea6715c0a0cc156fd2b4dc6ed5d5b,关于皮肤隆突性纤维肉瘤的病理诊断和疑问,1
e0f0d658d681a1f706355efcc0da55b9,神经鞘瘤是癌症吗,1
4727bc4865246128ebf9035bbfd9e09e,什么是小细胞恶性肿瘤，能不能治愈？,1
7253068472124c2d974eef38903142d8,肺癌能治吗,1
d77e665401cf13a14982adfec24615c3,手背上长肿瘤是怎么一回事？,1
586f2812d7a8d3b16036a0ab4e592f73,纤维腺瘤什么时间切除最合适?,1
ec3c36abe4fb9ea3d4e09792750bdf47,丈夫10年被诊断为室管膜瘤，于10年5月和13年10月两次做手术，自10年做手术后，听力就下降，日夜耳呜不止，特别是13年下降的特别利害 ，12年被确诊为神经源性耳聋，椎神经鞘瘤常伴有颅内肿瘤（如听神经瘤、室管膜瘤等），结合症状，我有些担心他得的是不是椎神经鞘瘤？椎神经鞘瘤和室管,1
ae21de9b2d2af505218661d0550b666a,骨癌是不是所谓的白血病啊？,1
b7322127b278c6342a7e550e81ffaabb,淋巴管瘤是否能治愈？,1
6b45bf91fb4d7d0ee5d34a735fd3fa8a,甲状腺癌的诊断依据？,1
badbaba86ef2eb0ed4f16bbe6db112cc,心脏是面会不会生癌,1
fae58e848132ab80a21fff7f83c7f51c,乳头型脑膜瘤（WHO3级）为良性还是恶性,1
05f0c4b28b8cfab215da9d769e907c85,皮肤癌早期症状!!,1
be0788381993214e2b0c9f69b5ae13a4,淋巴管肉瘤要做什麼檢查,1
d74ba76a6ff6d513f9b5775014c28f88,怎样快速检查是否有淋巴癌,1
0d9e547e6a662108643fdcd717b7f91f,十四岁这个年龄段患胚胎性横纹肌肉瘤跟遗传基因有关吗？,1
81e32c779a7794961d5763c1891a03ff,白癜风会诱发皮肤癌吗？,1
d6dde6e1150333b849d16e05736cd048,胃溃疡会癌变吗 胃角溃疡有癌变前兆吗 胃角溃疡有癌变前兆吗,1
13d9424b88e1dfe3aa44102022e41013,神经血管性头疼和脑胶质瘤头疼有没有联系呢？,1
7d445c2572d2a845b2f25172001fbc62,我爷在检查中检查出肺癌肿瘤7*7大的位置肿瘤,1
28195ede3b361b254548c67e75facf1c,男65岁 神经衰弱的病因 神经胶质瘤的病因病理主要有些什么,1
2064b3751169abea44081d71a92f68fa,要做哪些檢查才會發現骨的惡性纖維組織細胞瘤？,1
d81d5e623f5cb0a6840cdc2b783f97a6,诊断为未知肿瘤,1
7a71642c23371365e1bf1813d97faea1,纤维肉瘤是不是癌症,1
268a5ca015fee8659ae3eedb30b68624,我在华西医院做了脑瘤手术，切除了直径约40毫米的听神经鞘瘤，但是三个月去复查却又长还原了，还是一个差不多大小的肿瘤，这算什么事？,1
5a12b24359b8411a5cae5f7ba3ac9d07,皮肤癌化疗药物进口和国产在疗效有区别吗,1
ed3224b964b9a68e66e5805ab87a44c4,肿瘤是良性的还是恶性的,1
c8b4fae8db81514a7a925ffb2a77f020,我得了神经纤维瘤有很多年了，2005年做过一次切除手术，最近又长得很快，请问这种病能否根治？,1
74cc7d9bf391ef61bfb334819ae9d7bb,谁知道混合瘤是什么鬼东西啊 ？？？严重吗？？？,1
9dafa5ffcc999b68c821a994da4b831c,请问宫颈癌早期是否需要做盆腔淋巴结清扫,1
66197f4481d9e9722ee9803d7633cd75,在吗，想知道你的病有什么进展，我儿子也是眼眶内神经纤维瘤,1
3ec4de401117d4060b33606e0871f334,提问：神经母细胞瘤4期的治愈率有多少,1
ae91b3056d8e3400482b6cae457e3f57,神经纤维瘤能治愈吗，怎么治？,1
e2516b3249a04a289fe1f5448674e098,请问骨转移癌有救吗？,1
4bdc0c93fbc1465326dbcacb20725e86,女42岁 视神经胶质瘤 神经胶质瘤的病因病理有哪些,1
91ca2501ddfc32044504352848e1d059,中晚期癌症能不能治好,1
d019802b4d60499e0505cbc133caf594,什么是神经纤维瘤1型和2型,1
a92b0c54b564b78212488132f58681e1,神经纤维瘤对胎儿的智力有影响吗？,1
b98902b5f00c7a98384afef579520850,老婆腋窝下长了一个瘤状的肿块是什么？,1
bd2d67dfa79d03d9a9f1528b248efc18,兰州治恶性卵巢囊肿？？,1
5de065ef88325ca5972860f662f025f0,怎样判断癌症(盆腔鳞细胞癌是早、中、晚期)呢?,1
ef42269bf8b098bb66a062641252f584,做了纵膈肿瘤手术可以立即进食吗？,1
ee44a043c49f40495368a0cd6cb308d2,乳腺纤维瘤病严重吗?轻度乳腺纤维瘤的治疗方法?乳腺纤维瘤会复发吗,1
5abd60776a0b323287a865466d64adf2,不知道是否是畸胎瘤,1
af0a91d3642aada49d71fc8b240367e5,神经内分泌癌，癌痛止痛膏药的制作，具体比例,1
1695bbd0ab796fa0fbc33a7b161989d7,我以前手腕那长了一个脂肪瘤，怎么现在没了？,1
c039fe8612f18d04d03fbd2dc6777357,是纤维瘤吗？,1
b90413932787781634dada820d1c3ff3,女性，83岁，左肾癌占位摘除，病理报告已经上传，想知道癌症的级别和免疫生化报告的数据代表什么？甚感。,1
722b841d4865e8cbffb6c44538fc8e77,太阳晒到什么程度会得皮肤癌?,1
0e4d6739c56c6b54064e24eefdea64b9,这个是淋巴瘤吗？,1
b92b2a59ddff65763915bb0668f4ddfb,浸润性小叶癌需要化疗吗,1
9db446e8015cfa2cda534a705acd5bd7,请问下神经纤维瘤会遗传到每一代吗,1
31b5d978c65e70336d0e66f0b0117e30,纤维瘤严重不,1
4ca0600487ffac8b2f6bd9a3b7bb825b,女57岁 鞍结节脑膜瘤 脑膜瘤的病因病理主要有些什么,1
3f5f2bf3dce8f7a6c421b61150592bdf,怀疑甲状腺癌,1
263a44c5c1a0c89d8041c1debb662bab,淋巴管淤积是怎么回事？如何检查诊断及中西医治疗,1
510d763da0774e7a6b5cf0d07e69ab65,我的卵巢囊肿是恶性的吗？,1
838f5c16dd20af673561ef67db365e4b,使用手机真的会增加致癌风险吗？,1
efbeebe3cc968fa6c4c4d667a579b04c,这是淋巴瘤吗？,1
204b12b33c42614f5731fc83e28ae36b,腋下淋巴肿大6年，会不会是淋巴癌早期症状,1
4df1a1e83225784301fba25a2b84758e,您好 ！ 今年五月份的时候我做了颈部神经鞘瘤手术 现在经常出现神经衰弱的症状这个手术有关系吗,1
b7b6263bc5f6d6b0ed3a9a06367d6a3e,检查乳腺纤维腺瘤用什么仪器最准确？,1
d2cb89613689c5146612d301f5a8b2a2,泰欣生能治神经胶质瘤吗？,1
ad515499a01ebd1b237f1f5bd416962b,乳腺癌是何疾病?,1
01866ff42369c8ce5d63c6ee04b30a55,妇女怀孕期间，颈部锁骨处的淋巴管瘤会长大吗？,1
27d668905af2c6d807352999acb22688,乳腺肿瘤能转成癌症吗,1
43e0b798c7ed2bad6b3b8d22ba6e4ccf,甲状腺肿瘤是癌症吗,1
0075b09a5f470bafb2a2e94d45bb9b16,肝硬化和肝癌是一个概念么,1
0c28b154d94759d05043c49e905c083b,淋巴癌与胃癌传染吗?筷子与碗要分开吗?,1
44004e4af1968fb14b4bf63fb3bf4e63,淋巴结严重么？,1
27cbb5291e83f5046bc92bbfdf6cc4d4,先天性淋巴管瘤能否治愈？,1
ceda1040ce84b21b43c17bfef0127961,神经纤维瘤病人智力都低下吗？,1
e90aba6d29d4989ac875e7d3b5e97288,疑似肺部恶性肿瘤,1
f1632ee344a4833a70d57cf336a1d0f2,请问良性的血管肿瘤可以切除吗？要怎样预防良性的转变成恶性的呢？,1
417c711bb7879d9b605e9f98a5a6633a,得了脑肿瘤的病人做了一次手术，再做手术有危险吗？,1
e22d1638d350b093208a32da89a5c9af,甲状腺癌的分型有哪些？哪种恶性程度比较高？,1
a2ebf7f13f020df52e806d6b864b6cf5,男性会长多发性纤维瘤吗？,1
1e912d66e02801e692cba511edaaef6a,肺神经内分泌癌是不是传染病呀？,1
7e379aa9bff328818cdf203463dc0bd6,神经纤维瘤这个病还能得到根治吗？,1
9f3be567dbeaa91afba87acc03634ea7,甲状腺癌术后咨询,1
c5ff16a4678ed9960193ed4cc8cb4c8e,男生有没有可能的乳房癌阿？,1
0b70d7642f7a122c58bb949a28584d43,粒细胞肉瘤是很严重的癌症吗？,1
6acc8118501d78167594b0515aad05e6,是否是纤维腺瘤,1
4afb5499756d06f8f772b943b884b8dc,有关小孩恶性脂肪母细胞瘤的问题,1
fd405f050bd09bf4f8b49bf977544902,16岁大便有时黏液会不会有结直肠癌,1
4abccb0fa1e7f38b6bed75281c399342,右脑 顶部 多形性胶质母细胞瘤 是怎样一种肿瘤？,1
bd0586ca3c2ee7baac6d64003a8e714a,分化好的纤维肉瘤 隆突性皮纤维肉瘤 还能确诊是否是DFSP吗？,1
56564561744b29da77591c6e1f90606f,子宫粘膜下平滑肌瘤表面内膜伴嗜酸性化生是什么病子宫息肉做了,1
dd586a72f13ebfb5b4f6c33535ec5475,婴儿肺部囊腺瘤需要手术么,1
03293422cd0022616f2ad3db7282a261,MALT淋巴瘤预后怎么样，原发于眼部，是放疗还是化疗，还是放化疗结合?,1
725051028fd37c274f6fbf5ecd6f40f3,直肠癌晚期.已经扩散到膀胱子宫.如果做放疗了.还有必要做手术么？我妹妹才28啊,1
a04ebac95f1dddc6ec8d7dcc1bd1ecf1,怀孕好好的检查一直都很正常怎么查四维发现有肺囊腺瘤,1
a901c853ed0564b01153d192863f91ce,孕妇得了食道癌,1
7a651f65b7e3db6ab0369b71f8e63369,甲状腺癌乳头状，右侧恶性，左侧良性，行全切术，现在术后半年了今天复查彩超说左侧见两个低回声结节，这,1
d62ab4c11c082d38c6f7c131be625f2d,老公结肠癌化疗意外怀孕了。这个宝宝能要吗？,1
169c8b5e659d1bb6085d05417029ad32,头上有肉色不规则肉瘤,1
608278557b846de3ec591cb8c5e4cbc5,想吐子宫痛，是不是癌细胞侵犯神经时就是扩散了,1
70db3b6a3ba2566962baa965ae814587,私处长了小肉瘤怎么没办,1
2ab9ab0e372f7929d1191d3cf515a067,我是河北省沧州市盐山县常庄乡王梅村，村民张书良，我的小孩，11岁，男，张世豪的了神经母细胞瘤，20,1
c2a5801aca644e291f4b5e673cd9d0bf,甲状腺癌乳头状癌左侧颈2个淋巴结，是不是复发了。,1
c2d10d9763a2a28bc8f70997de6f7143,患者女，23岁。2011年9月脑胶质母细胞瘤外科手术，术后无措施。2013年5月做伽马刀治疗。是否可以备孕？,1
f60a4dc331f1dd2bb9502f4dcf495fa7,大家好！我妈妈2013年8月做宫颈和子宫全切手术，术后病理报告显示宫颈鳞状细胞癌二期，化疗四个疗程,1
4f224915ecadf35c15e6bad629e39f17,妈妈做了子宫切除术，术后病理检查[宫颈鳞状上皮CIN3级，局部原位癌，累及腺体』,1
8fcf4c7659d935f7d8647809f2a5bf16,人乳头瘤三公分左右挖出后表面光滑里面长的乱七八糟的东西请问恶性多还是良性多,1
97efa14b041dcf39e8deccdec3dd1a06,家里有肠癌病人，四个月大的婴儿传染了肠癌病毒怎么办？,1
8040836863c0b76383e3b6f86d304f90,16岁女孩患恶性早期卵巢肿瘤能治好吗？ 良性卵巢肿瘤人会膄,1
7714bde256ff73a03545cfddcafda13e,月经时间长达一月之久，也没有见好的迹象，还越来越多，医院说是子宫内有一个良性肿瘤，现已切除。,1
73d31aae202dbcffd643e5a0a27b9a4c,婴儿打A群脑瘤预防针手上起红豆,1
bc90618d83ef05faa57591931dff09cd,有高危型人乳头瘤病毒感染，HPV58，阳性，还有个细胞学检,1
fbe85f8e89bec26a6786c26b92b0bb90,十岁男孩子后背的肩胛骨疼痛是什么原因？不会是骨癌？好好害怕,1
c91d65bb76f7575eece907cd2e338b62,小孩11岁膝盖上方一点长了骨软骨瘤，怎么办？孩子两个月前又得了过敏性紫癜，医生说做手术对肾脏有影响,1
dd8b725476f4287ec23548e1a4d8817a,直肠癌病人术后两年，之前有作化疗治疗，现发现腰痛，...,1
5592afb6ddb56b0d23500bbc15f08f72,你好 想咨询一下得过鼻咽癌的患者可以要小孩吗？患者是男性已经五年了现已康复，请问他老婆现在,1
4866aaed209b45788a6822db67411761,甲状腺癌术后能吃，但是消瘦为什么？_甲状腺乳头癌,1
6c50f1a4462bb0ef218551c1fe4908e0,包皮系带长肉瘤是什么病啊?,1
90a05c172d62caa084b418c164c23d9a,出生宝宝耳道里长肉瘤,1
cb6097f64af08b3ad9f61158ce9c9589,宫颈鳞状细胞癌，是原位癌吗,1
db82364e500bce97025733385e9ea15d,月经一直不走20多天了血很多，粉色，和肺癌晚期有关系吗?,1
40eb199d56509d7b8b15b27227846d36,提问：4个月宝宝身上有20几块咖啡斑，能得神经纤维瘤吗,1
adad6b3046eca9f69134b4a0e7906a9c,左侧甲状腺乳头状癌加淋巴结转移14/22（中央区9/12，左侧5/10）请问这属于甲状腺癌晚期吗？,1
8906af51a2dc45e4239d5c61ab3a75b3,我是去年11月25号做的子宫肌瘤剥离术，子宫前壁平滑肌瘤5.0。我现在想怀孕可以吗？,1
716ea6beafdd8d430aca01681226ae24,宝宝淋巴细胞偏高,1
5f3974b8145b19f15db2378bb2ec24c9,查询胃癌网胃根治术后九个月检查各项指标正常人消瘦是何原因,1
82baa446aa4a52bda98f5f142daa6715,九个月宝宝脑袋上长淋巴癌有什么危害？,1
cc81a793a5eba68ab922fa5ec7c67c73,HPV阴性，会得宫颈癌前病变和宫颈癌吗？,1
41561db12bfce0abb039670677b7d43f,子宫颈急慢性炎症，子宫浆膜下多发性平滑肌瘤，子宫内膜单纯性萎缩，阴辺壁切缘未见癌，双侧附件及双侧宫,1
042a6a11e4ac9dd426704757b35b27b5,子宫长了肿瘤但不知道良性还是恶性,1
2767cfdfeee293ddddfd79e0022d8cd1,你好，我老婆四年前宫颈癌子宫全切，今天检查了一下，我想问一下鳞状细胞癌相关抗原（scc）2.70，,1
d8c85f2bbe6c9c492041a7e17d21639e,三岁小孩嘴巴碰到动甲状腺癌排出空瓶子有问题吗?急,1
64468e6666c0e995fc6e31aed82d3116,乳房纤维腺是乳腺癌吗？,1
db415866b2c673654b7f7101ef547694,26周胎儿肺囊腺瘤，是否得引产？,1
855de68f2efa57f3ab50669491fe5b64,乳腺溢液有成团乳头状肿瘤细胞是乳腺癌吗,1
67193024247d4e3db63fd9e38023694d,没发现得双侧卵巢癌前两年会怀孕吗,1
a8764bd9c7234f3274c273b0df159aff,子宫肌瘤恶性 近几天小便带血,1
3e5b8296ab0b4c4e68d08f2dd10b72f3,宝宝五个月了在牙上长了一个像小肉瘤一样的东西怎么回事,1
d6b179fa207fd9273317c81f55b19244,淋巴样细胞增生小细胞癌待排除什么意思,1
2088148fd6c807b84d92505c91b96d1e,孕8个月了老公被查出肺癌腹中的孩子碍事吗,1
7756286775643731fe132e42fcdbc57e,有可能是宫颈癌吗..,1
3db5bd6d3fff9150caa68b4229b683b8,子宫上长瘤是子宫癌吗,1
92cfecc2f618b1e03d7bf03176d044b5,ct报告上没有写肺癌就不会是肺癌吗,1
3b29f9796db1af4d1b0a2d5f830c2212,我现在怀孕两个月了，但现在，宫颈脱落细胞查出我有《人乳头瘤病毒HPV DNA》阳性+ 这是不是宫,1
fd8a7d346b4293c1595bfa727d29dcce,一岁多宝宝打完脑瘤疫苗爱出汗,1
62b8cdf503b782ea8052704926dd54d5,接触性出血一定会是宫颈癌的前期吗？,1
bc407dd0e226d367612260f0d6a8e95d,16岁以下的小孩会得喉癌吗?喉癌的检查,1
edc91c57c17a347509255958ca3bc1e4,乳头状甲状腺癌手术后已5个月了，伤口有时还痛是为什么,1
14d679becef0771cfedcd57245b490dd,宫颈乳头状瘤是尖锐湿疣吗,1
e267a6cb1107fe9a7da6384d3ae612e9,2012年时候诊断为结肠癌转移卵巢癌 切除了子宫和部分肠子 2014年去检查变成宫颈癌了 请问这是转移了吗？,1
ac6b5779f3e5eab2f29efcd7fcf35bcf,pt3nom1是什么意思（，右上肺癌术后),1
1a51edbca7f83e61f17b308dc0110ca5,和酒吧服务员高危性后第二天引起龟头淡，四五个月内症状很多，舌台发白舌根长豆肉瘤，全身肌肉跳动，皮肤,1
7b0a08d47a4aaeb1cccca079563991c1,停经一个月后月经又正常了患鼻咽癌的机率有多大,1
7ba815963a2b4e8edf9e14c225f07979,盆腔囊实性肿物浆液性囊腺瘤可能,1
66caecd54ff684faa3686cb82e2b1352,宝宝刚出生屁眼上有肉瘤，是不是痣疮？,1
8b0044b2d5e4b0587c40e026536f7459,彩超结果：右侧腋窝淋巴结节，不疼，会移动，以前患有多年乳腺增生，近期发现腋下有有一硬块。,1
842e9b9e63cb6fe16be6ed885cabf66b,我怀孕了乳房乳晕上有个小肉瘤，这个肉瘤是从小时候都有的，怀孕后乳晕变大小肉瘤也变大了些请问那是什么,1
79428c5796e707619b93ba422159490d,我是恶性卵巢囊肿的可能性大吗,1
571eeaa3d8a1c4a80a6796887a6524e1,做过乳腺肿瘤手术，是良性的，乳房一个大一个小正常吗？,1
962cecf9b683c724727054d0a9cdddcb,1个月零15天婴儿疑患神经母细胞瘤神经母细胞瘤,1
aa0ffda17481d5ae43cb64f597cbfe20,平滑子宫肌瘤半年长0.6CM是什么概念,1
3b1bdbc3169360f82aedd1b8c8308ca7,乳腺腺病伴间质淋巴细胞浆细胞灶状浸润小灶上皮呈乳头瘤状生长细胞增生,1
9847ce2bd1c4dd8f413775d0b6c80ed5,急！宫颈粘膜慢性炎伴鳞状上皮乳头状瘤样增生是什么病？是瘤？癌？,1
02e711701f54e6ad0318db02e02d2b6f,宝宝肛门外有一小肉瘤,1
6e8fea83bb5c9eac199ecf33911c6fea,24周、胎儿左肺囊腺瘤样畸形、三尖瓣轻度反流、羊水过多。宝宝还可以要么？,1
0276250ca74a401d053b60eaaeffbf5e,低度恶性潜能的乳头状尿路上皮肿瘤是良性的吗,1
117c644400b292696c7e867a4898d57e,有血癌后，女朋友怀孕了那小孩可以要吗？,1
1a122881272141b5264f95b5efc25ad2,我妈妈子宫癌肉瘤半月前做了切除手术，扫了淋巴，病理报告三期，左侧淋巴十三个组织有一个呈阳性，是否是,1
b896327c458df6a37eff8adcaa45d62d,左侧乳房长了一个鸡蛋黄大小的肉瘤，上医院也没查清楚，到底是,1
353761dd1ad4c2d4a99b1492c5a1cce5,八岁男孩从出生脚底就有一点点胎记，随着年龄长大，胎记也越大，是不是黑色素瘤,1
eb05195acf0f6d70e2a9d51bb6e4556d,HPV检查是CINII是宫颈癌吗,1
e9de0f28c8841d6e39c49ebb6bb73124,同房出血，阴道镜显示白色上皮是宫颈癌吗,1
7149536a0f494bee6087bf4b687b3967,淋巴细胞百分比61%  其他全部正常,1
3256388ce2a273b61d33aa8b8e2d6d25,子宫颈非角化型鳞状细胞癌中分化属于重大疾病吗开始疼了是晚期吗,1
1e88b3cc5190fe7a7db07a536ce952bb,刚生的三十七天的婴儿，做ct颅内出血，看片子说是随母细胞瘤，想不通什么原因还是误诊了，刚出生的怎么,1
e1955432261618646ecc9ff371c69427,您好医生，请问肺癌2a期手术后第五个月了还一直会咳嗽正常吗,1
aaa675d6b2e2ab83a1f819206dd40427,淋巴瘤切除手术后经常生病，这样正常吗,1
9e146f4163ec9703a8cb711a6ed3c1db,肺癌病人可以吃凉的么,1
a7b72c4b61bb73d92a20eaa17aec122c,我的父亲是形态学支持低分化腺癌，请问医生，症状严重吗?,1
50567f9205dfdcf7e7ea096a210df671,血瘤还有没有得治,1
d2017621662057e81deab6cc2e8d2a63,一岁半口腔舌底血管肿瘤,1
b9fe67fa6115ccf10d08a2c8da1be049,胆囊癌晚期脑转移，手术治疗还适用么？,1
038d34fe5ec32b6d0feb8913484377ba,宫颈鳞状细胞癌是癌症的什么期。？能治好吗。？,1
54de8b8f88ae68132b834467f8c38bb2,吃什么对骨肉瘤好,1
4584650d739b86a40cbd2cacfd7be655,星形细胞瘤二级是癌吗,1
82a2089333aed86757d646535a5bffcc,胃良性肿瘤吃什么好,1
15138a9ade0d722ec600ad7096660be1,脑癌有的治吗,1
b9216334e9c19f097a765abd880d573b,髓母细胞瘤能治愈吗？,1
35dbbea8c2dfa02c15e9e3979bfe1100,舌癌晚期能治好吗,1
4aa569208257d007b5d11096c58aa6b1,患T细胞性淋巴瘤,1
61f2d92edc004a88af04dc2ecc41f846,得了骨癌骨头会疼吗,1
24dab7f501aaf8f7ad13de7e38cf9e31,软骨瘤必须手术么,1
87158d910cefb2679bd5fba1d14ab397,纵膈及右侧肺门可见多个肿大淋巴结影是否乳腺癌转移,1
9a20ff189b0a7fce692c1915039cc3d5,霍奇金淋巴瘤后期是化疗还是放疗巩固？,1
